    153441
    0.8980 VVF   -0.602 0.5      0.000 1.5 11140000.00  26.212s2 2p    2s2 4d   
    0.8983 VVF   -1.249 0.0      0.000 1.0 11132393.00  11.091s2       1s 4p    
    0.9050 VVF   -2.107 0.5      0.000 0.5 11050000.00  26.212s2 2p    2s2 4s   
    0.9051 VVF   -0.722 1.5      0.000 1.5 11048000.00  26.192s2 2p3   2p2(3PE) 
    0.9051 VVF   -1.023 1.5      0.000 0.5 11048000.00  26.192s2 2p3   2p2(3PE) 
    0.9070 VVF   -0.349 1.5 118270.000 2.5 11140000.00  26.212s2 2p    2s2 4d   
    0.9070 VVF   -1.301 1.5 118270.000 1.5 11140000.00  26.212s2 2p    2s2 4d   
    0.9149 VVF   -0.551 1.5      0.000 2.5 10930000.00  26.192s2 2p3   2p2(3PE) 
    0.9150 VVF   -1.810 1.5 118270.000 0.5 11050000.00  26.212s2 2p    2s2 4s   
    0.9169 VVF   -0.130 0.0      0.000 1.0 10906612.00  12.101s2       1s 2p    
    0.9194 VVF   -2.670 0.5      0.000 1.5 10877114.00  10.09() 1s     ()10p    
    0.9194 VVF   -2.971 0.5      0.000 0.5 10877085.00  10.09() 1s     ()10p    
    0.9215 VVF   -2.529 0.5      0.000 1.5 10851365.00  10.09() 1s     () 9p    
    0.9216 VVF   -2.831 0.5      0.000 0.5 10851325.00  10.09() 1s     () 9p    
    0.9246 VVF   -2.373 0.5      0.000 1.5 10815367.00  10.09() 1s     () 8p    
    0.9246 VVF   -2.674 0.5      0.000 0.5 10815309.00  10.09() 1s     () 8p    
    0.9290 VVF   -3.323 2.0      0.000 1.0 10760000.00  26.182s2 2p4   2p3(2PO) 
    0.9291 VVF   -2.192 0.5      0.000 1.5 10762859.00  10.09() 1s     () 7p    
    0.9291 VVF   -2.495 0.5      0.000 0.5 10762773.00  10.09() 1s     () 7p    
    0.9340 VVF   -0.801 2.0      0.000 3.0 10710000.00  26.182s2 2p4   2p3(4SO) 
    0.9356 VVF   -1.205 0.0      0.000 1.0 10688000.00  26.202s2 2p2   2s2 2p 4 
